hour_of_day,day_of_week,day_of_month,month,time_since_last_min,time_since_last_normalized,incidents_last_1h,incidents_last_24h,incidents_last_7d,incidents_1h_normalized,incidents_24h_normalized,incidents_7d_normalized,rolling_frequency,logs_count,metrics_count,has_data,logs_count_normalized,metrics_count_normalized,success_rate_last_10,failure_rate_last_10,success_rate_today,action_historical_success_rate,type_action_success_rate,last_action_success,retry_count_1h,retry_count_normalized,escalation_flag,action_effectiveness_score,incident_type_encoded,source_encoded,original_type_encoded,diagnosis_code_encoded,strategy_encoded,severity_encoded,action_type_encoded,source_category_encoded,last_action_taken_encoded
17,0,6,4,9.0,0.00625,3,13,13,0.3,0.65,0.13,1.0,9,4,1,0.18,0.08,0.7,0.30000000000000004,0.684931506849315,0.6363636363636364,0.6363636363636364,1,0,0.0,0,0.4874545454545455,3,3,2,1,3,0,0,3,1
16,0,6,4,23.0,0.01597222222222222,3,10,10,0.3,0.5,0.1,1.0,11,4,1,0.22,0.08,0.7,0.30000000000000004,0.7,0.75,0.5,0,0,0.0,0,0.5429999999999999,3,3,2,1,0,0,0,3,1
18,1,7,4,18.0,0.0125,4,31,31,0.4,1.0,0.31,1.0,8,4,1,0.16,0.08,0.6,0.4,0.5921052631578947,0.6216216216216216,0.6333333333333333,1,0,0.0,0,0.5731351351351351,0,0,0,2,0,1,0,0,3
13,0,6,4,18.0,0.0125,3,59,59,0.3,1.0,0.59,1.0,7,4,1,0.14,0.08,0.5,0.5,0.6949152542372882,0.6851851851851852,0.6851851851851852,0,2,0.4,0,0.6851851851851852,1,1,3,3,2,1,0,1,2
6,1,7,4,29.0,0.02013888888888889,3,53,53,0.3,1.0,0.53,1.0,12,4,1,0.24,0.08,0.8,0.19999999999999996,0.5949367088607594,0.5714285714285714,0.5714285714285714,1,0,0.0,0,0.568,3,3,2,1,3,0,0,3,1
8,3,9,4,25.0,0.017361111111111112,1,46,57,0.1,1.0,0.57,1.0,8,4,1,0.16,0.08,0.2,0.8,0.2826086956521739,0.3392857142857143,0.32075471698113206,1,0,0.0,1,0.3392857142857143,2,2,1,0,1,1,1,2,0
3,1,7,4,28.0,0.019444444444444445,2,44,44,0.2,1.0,0.44,1.0,6,4,1,0.12,0.08,0.3,0.7,0.5555555555555556,0.5,0.5,0,0,0.0,0,0.47000000000000003,3,3,2,1,3,0,0,3,1
7,1,7,4,20.0,0.013888888888888888,2,54,54,0.2,1.0,0.54,1.0,8,4,1,0.16,0.08,0.9,0.09999999999999998,0.6075949367088608,0.58,0.58,1,0,0.0,0,0.58,3,3,2,1,3,0,0,3,1
0,1,7,4,23.0,0.01597222222222222,2,34,34,0.2,1.0,0.34,1.0,4,4,1,0.08,0.08,0.4,0.6,0.6309523809523809,0.5666666666666667,0.5666666666666667,1,0,0.0,0,0.49866666666666665,3,3,2,1,3,0,0,3,1
6,0,6,4,19.0,0.013194444444444444,3,34,34,0.3,1.0,0.34,1.0,7,4,1,0.14,0.08,0.6,0.4,0.7352941176470589,0.7352941176470589,0.7352941176470589,1,3,0.6,0,0.6647058823529413,1,1,3,3,2,1,0,1,2
3,3,9,4,13.0,0.009027777777777777,2,46,50,0.2,1.0,0.5,1.0,7,4,1,0.14,0.08,0.3,0.7,0.30434782608695654,0.3469387755102041,0.32608695652173914,0,0,0.0,1,0.34485714285714286,2,2,1,0,1,1,1,2,0
21,0,6,4,16.0,0.011111111111111112,2,24,24,0.2,1.0,0.24,1.0,0,4,1,0.0,0.08,0.6,0.4,0.6785714285714286,0.6363636363636364,0.6363636363636364,1,0,0.0,0,0.5294545454545454,3,3,2,1,3,0,0,3,1
14,1,7,4,24.0,0.016666666666666666,3,19,19,0.3,0.95,0.19,1.0,8,4,1,0.16,0.08,0.8,0.19999999999999996,0.6,0.6538461538461539,0.6842105263157895,1,0,0.0,0,0.5596923076923077,0,0,0,2,0,1,0,0,3
23,0,6,4,29.0,0.02013888888888889,4,32,32,0.4,1.0,0.32,1.0,8,4,1,0.16,0.08,0.5,0.5,0.6395348837209303,0.5714285714285714,0.5714285714285714,0,0,0.0,0,0.496,3,3,2,1,3,0,0,3,3
9,0,6,4,12.0,0.008333333333333333,4,47,47,0.4,1.0,0.47,1.0,8,4,1,0.16,0.08,0.8,0.19999999999999996,0.7446808510638298,0.7272727272727273,0.7272727272727273,1,2,0.4,0,0.7010909090909091,1,1,3,3,2,1,0,1,2
6,3,9,4,35.0,0.024305555555555556,1,45,54,0.1,1.0,0.54,1.0,9,4,1,0.18,0.08,0.4,0.6,0.28888888888888886,0.33962264150943394,0.32,0,0,0.0,1,0.33962264150943394,2,2,1,0,1,1,1,2,0
21,1,7,4,18.0,0.0125,3,42,42,0.3,1.0,0.42,1.0,5,4,1,0.1,0.08,0.6,0.4,0.5714285714285714,0.6170212765957447,0.625,0,0,0.0,0,0.6059148936170212,0,0,0,2,0,1,0,0,0
18,2,8,4,22.0,0.015277777777777777,2,32,32,0.2,1.0,0.32,1.0,9,4,1,0.18,0.08,0.3,0.7,0.4745762711864407,0.34375,0.3103448275862069,0,0,0.0,1,0.306625,2,2,1,0,1,1,1,2,0
1,2,8,4,5.0,0.003472222222222222,5,58,58,0.5,1.0,0.58,1.0,4,4,1,0.08,0.08,0.7,0.30000000000000004,0.6049382716049383,0.6190476190476191,0.625,0,0,0.0,0,0.6190476190476191,0,0,0,2,0,1,0,0,3
4,0,6,4,22.0,0.015277777777777777,2,25,25,0.2,1.0,0.25,1.0,0,4,1,0.0,0.08,0.7,0.30000000000000004,0.8,0.8,0.8,1,2,0.4,0,0.68,1,1,3,3,2,1,0,1,2
22,6,5,4,22.0,0.015277777777777777,2,2,2,0.2,0.1,0.02,1.0,6,4,1,0.12,0.08,1.0,0.0,1.0,1.0,1.0,1,2,0.4,0,0.712,1,1,3,3,2,3,0,1,2
11,0,6,4,17.0,0.011805555555555555,2,55,55,0.2,1.0,0.55,1.0,3,4,1,0.06,0.08,0.6,0.4,0.7090909090909091,0.7058823529411765,0.7058823529411765,1,2,0.4,0,0.7058823529411765,1,1,3,3,2,1,0,1,2
13,2,8,4,26.0,0.018055555555555554,1,22,22,0.1,1.0,0.22,1.0,3,4,1,0.06,0.08,0.2,0.8,0.515625,0.36363636363636365,0.3157894736842105,0,0,0.0,1,0.30254545454545456,2,2,1,0,1,1,1,2,0
19,1,7,4,27.0,0.01875,3,35,35,0.3,1.0,0.35,1.0,8,4,1,0.16,0.08,0.6,0.4,0.5844155844155844,0.6097560975609756,0.6176470588235294,1,0,0.0,0,0.5768292682926829,0,0,0,2,0,1,0,0,3
8,0,6,4,4.0,0.002777777777777778,4,40,40,0.4,1.0,0.4,1.0,7,4,1,0.14,0.08,0.7,0.30000000000000004,0.725,0.717948717948718,0.717948717948718,1,3,0.6,0,0.6705641025641026,1,1,3,3,2,1,0,1,3
0,1,7,4,6.0,0.004166666666666667,3,35,35,0.3,1.0,0.35,1.0,9,4,1,0.18,0.08,0.4,0.6,0.6352941176470588,0.5806451612903226,0.5806451612903226,1,0,0.0,0,0.5144516129032258,3,3,2,1,3,0,0,3,1
13,0,6,4,16.0,0.011111111111111112,0,0,0,0.0,0.0,0.0,0.0,6,4,1,0.12,0.08,0.5,0.5,0.7,0.5,0.5,1,2,0.4,0,0.5,3,3,2,1,3,1,0,3,2
15,2,8,4,33.0,0.022916666666666665,1,24,24,0.1,1.0,0.24,1.0,3,4,1,0.06,0.08,0.2,0.8,0.49206349206349204,0.3333333333333333,0.2857142857142857,0,0,0.0,1,0.2813333333333333,2,2,1,0,1,1,1,2,0
22,0,6,4,7.0,0.004861111111111111,3,26,26,0.3,1.0,0.26,1.0,4,4,1,0.08,0.08,0.7,0.30000000000000004,0.6823529411764706,0.6521739130434783,0.6521739130434783,1,0,0.0,0,0.5465217391304348,3,3,2,1,3,0,0,3,3
10,0,6,4,19.0,0.013194444444444444,3,51,51,0.3,1.0,0.51,1.0,7,4,1,0.14,0.08,0.7,0.30000000000000004,0.7254901960784313,0.723404255319149,0.723404255319149,0,2,0.4,0,0.7103829787234043,1,1,3,3,2,1,0,1,3
2,0,6,4,14.0,0.009722222222222222,4,18,18,0.4,0.9,0.18,1.0,6,4,1,0.12,0.08,0.8,0.19999999999999996,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,4,0.8,0,0.6733333333333335,1,1,3,3,2,1,0,1,2
12,0,6,4,22.0,0.015277777777777777,3,58,58,0.3,1.0,0.58,1.0,8,4,1,0.16,0.08,0.6,0.4,0.7068965517241379,0.6981132075471698,0.6981132075471698,1,2,0.4,0,0.6981132075471698,1,1,3,3,2,1,0,1,3
3,0,6,4,16.0,0.011111111111111112,3,20,20,0.3,1.0,0.2,1.0,7,4,1,0.14,0.08,0.8,0.19999999999999996,0.8,0.8,0.8,1,3,0.6,0,0.6560000000000001,1,1,3,3,2,1,0,1,2
7,2,8,4,29.0,0.02013888888888889,1,10,10,0.1,0.5,0.1,1.0,2,4,1,0.04,0.08,0.5,0.5,0.6133333333333333,0.5384615384615384,0.5,1,0,0.0,1,0.4189230769230769,2,2,1,0,1,1,1,2,0
8,3,9,4,24.0,0.016666666666666666,2,46,58,0.2,1.0,0.58,1.0,9,4,1,0.18,0.08,0.2,0.8,0.2826086956521739,0.3333333333333333,0.3148148148148148,0,0,0.0,1,0.3333333333333333,2,2,1,0,1,1,1,2,0
3,0,6,4,13.0,0.009027777777777777,3,21,21,0.3,1.0,0.21,1.0,7,4,1,0.14,0.08,0.8,0.19999999999999996,0.8095238095238095,0.8095238095238095,0.8095238095238095,1,3,0.6,0,0.6686666666666666,1,1,3,3,2,1,0,1,2
21,0,6,4,29.0,0.02013888888888889,2,23,23,0.2,1.0,0.23,1.0,5,4,1,0.1,0.08,0.6,0.4,0.6746987951807228,0.6190476190476191,0.6190476190476191,1,0,0.0,0,0.5113333333333333,3,3,2,1,3,0,0,3,1
4,1,7,4,19.0,0.013194444444444444,2,46,46,0.2,1.0,0.46,1.0,5,4,1,0.1,0.08,0.2,0.8,0.5555555555555556,0.5,0.5,0,0,0.0,0,0.476,3,3,2,1,3,0,0,3,1
11,2,8,4,27.0,0.01875,1,18,18,0.1,0.9,0.18,1.0,7,4,1,0.14,0.08,0.3,0.7,0.5571428571428572,0.5892857142857143,1.0,0,0,0.0,1,0.5892857142857143,2,2,1,0,3,1,0,2,0
1,1,7,4,26.0,0.018055555555555554,2,37,37,0.2,1.0,0.37,1.0,6,4,1,0.12,0.08,0.3,0.7,0.6144578313253012,0.5757575757575758,0.5757575757575758,0,0,0.0,0,0.5170303030303031,3,3,2,1,3,0,0,3,1
0,0,6,4,3.0,0.0020833333333333333,4,9,9,0.4,0.45,0.09,1.0,5,4,1,0.1,0.08,0.8888888888888888,0.11111111111111116,0.8888888888888888,0.8888888888888888,0.8888888888888888,1,4,0.8,0,0.6702222222222222,1,1,3,3,2,1,0,1,2
12,2,8,4,36.0,0.025,1,19,19,0.1,0.95,0.19,1.0,8,4,1,0.16,0.08,0.2,0.8,0.5652173913043478,0.3684210526315789,0.3125,0,0,0.0,1,0.29989473684210527,2,2,1,0,1,1,1,2,1
5,0,6,4,17.0,0.011805555555555555,3,28,28,0.3,1.0,0.28,1.0,7,4,1,0.14,0.08,0.7,0.30000000000000004,0.7857142857142857,0.7857142857142857,0.7857142857142857,0,3,0.6,0,0.6819999999999999,1,1,3,3,2,1,0,1,2
11,1,7,4,18.0,0.0125,3,7,7,0.3,0.35,0.07,0.7,4,4,1,0.08,0.08,0.6,0.4,0.5753424657534246,0.5714285714285714,0.5714285714285714,1,0,0.0,0,0.448,0,0,0,2,0,1,0,0,3
7,3,9,4,45.0,0.03125,1,45,56,0.1,1.0,0.56,1.0,8,4,1,0.16,0.08,0.2,0.8,0.26666666666666666,0.32727272727272727,0.3076923076923077,0,0,0.0,1,0.32727272727272727,2,2,1,0,1,1,1,2,0
6,1,7,4,11.0,0.007638888888888889,3,51,51,0.3,1.0,0.51,1.0,9,4,1,0.18,0.08,0.7,0.30000000000000004,0.5822784810126582,0.5531914893617021,0.5531914893617021,1,0,0.0,0,0.5432340425531915,3,3,2,1,3,0,0,3,1
13,0,6,4,5.0,0.003472222222222222,2,2,2,0.2,0.1,0.02,0.2,9,4,1,0.18,0.08,0.5,0.5,0.6774193548387096,0.0,0.0,0,1,0.2,0,0.0,3,3,2,1,3,1,0,3,1
19,2,8,4,45.0,0.03125,1,33,33,0.1,1.0,0.33,1.0,12,4,1,0.24,0.08,0.3,0.7,0.4482758620689655,0.3333333333333333,0.3,0,0,0.0,1,0.29933333333333334,2,2,1,0,1,1,1,2,0
20,0,6,4,29.0,0.02013888888888889,2,22,22,0.2,1.0,0.22,1.0,5,4,1,0.1,0.08,0.6,0.4,0.6707317073170732,0.6,0.6,0,0,0.0,0,0.492,3,3,2,1,3,0,0,3,1
9,0,6,4,23.0,0.01597222222222222,3,48,48,0.3,1.0,0.48,1.0,8,4,1,0.16,0.08,0.7,0.30000000000000004,0.7291666666666666,0.7111111111111111,0.7111111111111111,0,2,0.4,0,0.6897777777777778,1,1,3,3,2,1,0,1,2
17,1,7,4,5.0,0.003472222222222222,3,30,30,0.3,1.0,0.3,1.0,3,4,1,0.06,0.08,0.6,0.4,0.5789473684210527,0.6111111111111112,0.6206896551724138,0,0,0.0,0,0.5597777777777778,0,0,0,2,0,1,0,0,3
21,2,8,4,22.0,0.015277777777777777,3,38,38,0.3,1.0,0.38,1.0,4,4,1,0.08,0.08,0.3,0.7,0.42857142857142855,0.35135135135135137,0.3235294117647059,1,0,0.0,1,0.323945945945946,2,2,1,0,1,1,1,2,0
4,1,7,4,28.0,0.019444444444444445,2,45,45,0.2,1.0,0.45,1.0,7,4,1,0.14,0.08,0.3,0.7,0.5679012345679012,0.5121951219512195,0.5121951219512195,1,0,0.0,0,0.48453658536585364,3,3,2,1,3,0,0,3,1
9,0,6,4,14.0,0.009722222222222222,6,45,45,0.6,1.0,0.45,1.0,4,4,1,0.08,0.08,0.8,0.19999999999999996,0.7333333333333333,0.5,0.5,1,4,0.8,0,0.5,1,1,3,3,1,1,1,1,2
5,1,7,4,27.0,0.01875,2,48,48,0.2,1.0,0.48,1.0,2,4,1,0.04,0.08,0.4,0.6,0.5769230769230769,0.5227272727272727,0.5227272727272727,1,0,0.0,0,0.5039090909090909,3,3,2,1,3,0,0,3,1
10,0,6,4,5.0,0.003472222222222222,4,49,49,0.4,1.0,0.49,1.0,5,4,1,0.1,0.08,0.8,0.19999999999999996,0.7346938775510204,0.717391304347826,0.717391304347826,1,3,0.6,0,0.7001739130434782,1,1,3,3,2,1,0,1,2
18,0,6,4,22.0,0.015277777777777777,3,14,14,0.3,0.7,0.14,1.0,8,4,1,0.16,0.08,0.7,0.30000000000000004,0.6891891891891891,0.6666666666666666,0.6666666666666666,1,0,0.0,0,0.5146666666666666,3,3,2,1,3,0,0,3,1
9,1,7,4,20.0,0.013888888888888888,2,2,2,0.2,0.1,0.02,0.2,8,4,1,0.16,0.08,0.6,0.4,0.5675675675675675,0.5555555555555556,0.5,0,1,0.2,0,0.4188888888888889,0,0,0,2,0,3,0,0,3
2,3,9,4,24.0,0.016666666666666666,1,46,47,0.1,1.0,0.47,1.0,5,4,1,0.1,0.08,0.5,0.5,0.32608695652173914,0.3695652173913043,0.3488372093023256,1,0,0.0,1,0.36069565217391303,2,2,1,0,1,1,1,2,0
18,2,8,4,33.0,0.022916666666666665,2,31,31,0.2,1.0,0.31,1.0,8,4,1,0.16,0.08,0.3,0.7,0.4745762711864407,0.3548387096774194,0.32142857142857145,0,0,0.0,1,0.3143870967741936,2,2,1,0,1,1,1,2,0
23,0,6,4,20.0,0.013888888888888888,3,33,33,0.3,1.0,0.33,1.0,11,4,1,0.22,0.08,0.4,0.6,0.627906976744186,0.5517241379310345,0.5517241379310345,0,0,0.0,0,0.4822068965517241,3,3,2,1,3,0,0,3,1
13,0,6,4,26.0,0.018055555555555554,1,1,1,0.1,0.05,0.01,0.1,8,4,1,0.16,0.08,0.5,0.5,0.6885245901639344,0.0,0.0,0,2,0.4,0,0.0,3,3,2,1,3,1,0,3,1
0,0,6,4,16.0,0.011111111111111112,5,12,12,0.5,0.6,0.12,1.0,5,4,1,0.1,0.08,0.8,0.19999999999999996,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,5,1.0,0,0.6433333333333334,1,1,3,3,2,1,0,1,2
15,2,8,4,40.0,0.027777777777777776,1,25,25,0.1,1.0,0.25,1.0,4,4,1,0.08,0.08,0.3,0.7,0.5,0.36,0.3181818181818182,1,0,0.0,1,0.306,2,2,1,0,1,1,1,2,0
19,0,6,4,31.0,0.021527777777777778,2,17,17,0.2,0.85,0.17,1.0,9,4,1,0.18,0.08,0.5,0.5,0.6753246753246753,0.6,0.6,0,0,0.0,0,0.474,3,3,2,1,3,0,0,3,1
16,1,7,4,6.0,0.004166666666666667,3,25,25,0.3,1.0,0.25,1.0,5,4,1,0.1,0.08,0.6,0.4,0.5733333333333334,0.6129032258064516,0.625,0,0,0.0,0,0.5430322580645162,0,0,0,2,0,1,0,0,3
6,3,9,4,36.0,0.025,1,46,55,0.1,1.0,0.55,1.0,11,4,1,0.22,0.08,0.3,0.7,0.2826086956521739,0.3333333333333333,0.3137254901960784,0,0,0.0,1,0.3333333333333333,2,2,1,0,1,1,1,2,0
15,1,7,4,20.0,0.013888888888888888,3,21,21,0.3,1.0,0.21,1.0,13,4,1,0.26,0.08,0.8,0.19999999999999996,0.5866666666666667,0.6428571428571429,0.6666666666666666,1,0,0.0,0,0.558,0,0,0,2,0,1,0,0,3
22,6,5,4,8.0,0.005555555555555556,3,4,4,0.3,0.2,0.04,1.0,1,4,1,0.02,0.08,1.0,0.0,1.0,1.0,1.0,1,3,0.6,0,0.724,1,1,3,3,2,3,0,1,2
21,2,8,4,13.0,0.009027777777777777,2,37,37,0.2,1.0,0.37,1.0,11,4,1,0.22,0.08,0.2,0.8,0.4107142857142857,0.3333333333333333,0.30303030303030304,0,0,0.0,1,0.30533333333333335,2,2,1,0,1,1,1,2,0
6,2,8,4,41.0,0.02847222222222222,2,8,8,0.2,0.4,0.08,0.8,7,4,1,0.14,0.08,0.5,0.5,0.6052631578947368,0.45454545454545453,0.375,1,0,0.0,1,0.3481818181818182,2,2,1,0,1,1,1,2,0
12,0,6,4,20.0,0.013888888888888888,3,56,56,0.3,1.0,0.56,1.0,11,4,1,0.22,0.08,0.6,0.4,0.7142857142857143,0.7115384615384616,0.7115384615384616,1,3,0.6,0,0.7115384615384616,1,1,3,3,2,1,0,1,2
23,1,7,4,25.0,0.017361111111111112,2,47,47,0.2,1.0,0.47,1.0,6,4,1,0.12,0.08,0.6,0.4,0.6,0.6153846153846154,0.6222222222222222,1,0,0.0,0,0.6153846153846154,0,0,0,2,0,1,0,0,3
11,1,7,4,13.0,0.009027777777777777,3,6,6,0.3,0.3,0.06,0.6,5,4,1,0.1,0.08,0.5,0.5,0.5616438356164384,0.5384615384615384,0.5,1,0,0.0,0,0.4189230769230769,0,0,0,2,0,1,0,0,3
2,3,9,4,42.0,0.029166666666666667,1,46,48,0.1,1.0,0.48,1.0,6,4,1,0.12,0.08,0.4,0.6,0.32608695652173914,0.3617021276595745,0.3409090909090909,0,0,0.0,1,0.35519148936170214,2,2,1,0,1,1,1,2,0
7,1,7,4,20.0,0.013888888888888888,2,55,55,0.2,1.0,0.55,1.0,5,4,1,0.1,0.08,0.8,0.19999999999999996,0.5949367088607594,0.5686274509803921,0.5686274509803921,0,0,0.0,0,0.5686274509803921,3,3,2,1,3,0,0,3,1
11,0,6,4,22.0,0.015277777777777777,3,54,54,0.3,1.0,0.54,1.0,3,4,1,0.06,0.08,0.6,0.4,0.7037037037037037,0.7,0.7,0,3,0.6,0,0.7,1,1,3,3,2,1,0,1,2
0,3,9,4,27.0,0.01875,1,44,44,0.1,1.0,0.44,1.0,8,4,1,0.16,0.08,0.2,0.8,0.32653061224489793,0.32558139534883723,0.3,0,0,0.0,1,0.31190697674418605,2,2,1,0,1,1,1,2,0
5,0,6,4,5.0,0.003472222222222222,4,29,29,0.4,1.0,0.29,1.0,4,4,1,0.08,0.08,0.7,0.30000000000000004,0.7586206896551724,0.7586206896551724,0.7586206896551724,0,4,0.8,0,0.6630344827586206,1,1,3,3,2,1,0,1,2
15,0,6,4,33.0,0.022916666666666665,2,6,6,0.2,0.3,0.06,0.6,5,4,1,0.1,0.08,0.6,0.4,0.696969696969697,0.6,0.6,1,1,0.2,0,0.438,3,3,2,1,3,0,0,3,1
22,1,7,4,19.0,0.013194444444444444,4,46,46,0.4,1.0,0.46,1.0,6,4,1,0.12,0.08,0.5,0.5,0.5714285714285714,0.6078431372549019,0.6136363636363636,1,0,0.0,0,0.6078431372549019,0,0,0,2,0,1,0,0,3
15,2,8,4,7.0,0.004861111111111111,2,26,26,0.2,1.0,0.26,1.0,7,4,1,0.14,0.08,0.3,0.7,0.49206349206349204,0.34615384615384615,0.30434782608695654,0,0,0.0,1,0.29630769230769227,2,2,1,0,1,1,1,2,0
3,2,8,4,32.0,0.022222222222222223,1,2,2,0.1,0.1,0.02,0.2,4,4,1,0.08,0.08,0.6,0.4,0.6455696202531646,0.6,0.5,0,0,0.0,1,0.438,2,2,1,0,1,3,1,2,0
10,0,6,4,13.0,0.009027777777777777,4,52,52,0.4,1.0,0.52,1.0,6,4,1,0.12,0.08,0.7,0.30000000000000004,0.7115384615384616,0.7083333333333334,0.7083333333333334,0,3,0.6,0,0.6998333333333333,1,1,3,3,2,1,0,1,2
22,6,5,4,14.0,0.009722222222222222,1,1,1,0.1,0.05,0.01,1.0,10,4,1,0.2,0.08,1.0,0.0,1.0,1.0,1.0,1,1,0.2,0,0.706,1,1,3,3,2,3,0,1,2
12,1,7,4,9.0,0.00625,4,13,13,0.4,0.65,0.13,1.0,9,4,1,0.18,0.08,0.7,0.30000000000000004,0.5733333333333334,0.6,0.6153846153846154,1,0,0.0,0,0.492,0,0,0,2,0,1,0,0,3
9,2,8,4,34.0,0.02361111111111111,2,13,13,0.2,0.65,0.13,1.0,8,4,1,0.16,0.08,0.4,0.6,0.589041095890411,0.4666666666666667,0.4166666666666667,0,0,0.0,1,0.3686666666666667,2,2,1,0,1,1,1,2,0
8,1,7,4,20.0,0.013888888888888888,3,58,58,0.3,1.0,0.58,1.0,7,4,1,0.14,0.08,0.8,0.19999999999999996,0.5921052631578947,0.5740740740740741,0.5740740740740741,1,0,0.0,0,0.5740740740740741,3,3,2,1,3,0,0,3,1
2,1,7,4,21.0,0.014583333333333334,2,40,40,0.2,1.0,0.4,1.0,8,4,1,0.16,0.08,0.3,0.7,0.5853658536585366,0.5277777777777778,0.5277777777777778,0,0,0.0,0,0.48344444444444445,3,3,2,1,3,0,0,3,1
21,6,5,4,60.0,0.041666666666666664,0,0,0,0.0,0.0,0.0,0.5,5,4,1,0.1,0.08,0.5,0.5,0.5,0.5,0.5,0,0,0.0,0,0.5,1,1,3,3,2,3,0,1,4
5,2,8,4,13.0,0.009027777777777777,2,7,7,0.2,0.35,0.07,0.7,9,4,1,0.18,0.08,0.4,0.6,0.6153846153846154,0.4,0.2857142857142857,0,0,0.0,1,0.30400000000000005,2,2,1,0,1,1,1,2,0
19,1,7,4,20.0,0.013888888888888888,2,36,36,0.2,1.0,0.36,1.0,11,4,1,0.22,0.08,0.6,0.4,0.5921052631578947,0.6190476190476191,0.6285714285714286,1,0,0.0,0,0.5893333333333334,0,0,0,2,0,1,0,0,3
10,0,6,4,19.0,0.013194444444444444,4,50,50,0.4,1.0,0.5,1.0,7,4,1,0.14,0.08,0.8,0.19999999999999996,0.74,1.0,1.0,1,4,0.8,0,0.712,1,1,3,3,0,1,0,1,2
17,2,8,4,13.0,0.009027777777777777,2,29,29,0.2,1.0,0.29,1.0,9,4,1,0.18,0.08,0.4,0.6,0.4918032786885246,0.3793103448275862,0.34615384615384615,1,0,0.0,1,0.3315172413793103,2,2,1,0,1,1,1,2,0
8,2,8,4,41.0,0.02847222222222222,1,11,11,0.1,0.55,0.11,1.0,4,4,1,0.08,0.08,0.4,0.6,0.6081081081081081,0.6307692307692307,0.5,0,0,0.0,1,0.6307692307692307,2,2,1,0,0,1,0,2,0
2,1,7,4,9.0,0.00625,3,41,41,0.3,1.0,0.41,1.0,7,4,1,0.14,0.08,0.3,0.7,0.5853658536585366,0.5135135135135135,0.5135135135135135,0,0,0.0,0,0.47345945945945944,3,3,2,1,3,0,0,3,1
1,0,6,4,4.0,0.002777777777777778,4,15,15,0.4,0.75,0.15,1.0,7,4,1,0.14,0.08,0.8,0.19999999999999996,0.8666666666666667,0.8666666666666667,0.8666666666666667,1,4,0.8,0,0.6846666666666668,1,1,3,3,2,1,0,1,2
